obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('81',)",3.49868988991,29,13,1026.73908585,29,13,14,3779218469.04,3779218539.44,3772425007.75,44.63218,-124.30797,0.0,internal_timestamp,69.4100036621,29,29,1563436207.75,33.8686981201,29,29,0,7.77699995041,29,29,3772425007.75
"('82',)",3.49868988991,29,13,1026.7382218,29,13,14,3779218469.04,3779218539.44,3772425007.81,44.63218,-124.30797,0.0,internal_timestamp,69.4069976807,29,29,1563436207.81,33.8678016663,29,29,0,7.77799987793,29,29,3772425007.81
"('83',)",3.49869990349,29,13,1026.73748025,29,13,14,3779218469.04,3779218539.44,3772425007.87,44.63218,-124.30797,0.0,internal_timestamp,69.4079971313,29,29,1563436207.87,33.8670005798,29,29,0,7.77880001068,29,29,3772425007.87
"('84',)",3.49870991707,29,13,1026.73711009,29,13,14,3779218469.04,3779218539.44,3772425007.93,44.63218,-124.30797,0.0,internal_timestamp,69.4150009155,29,29,1563436207.93,33.8666000366,29,29,0,7.77939987183,29,29,3772425007.93
"('85',)",3.49870991707,29,13,1026.73695713,29,13,14,3779218469.04,3779218539.44,3772425007.99,44.63218,-124.30797,0.0,internal_timestamp,69.4219970703,29,29,1563436207.99,33.8664016724,29,29,0,7.77960014343,29,29,3772425007.99
"('86',)",3.49871993065,29,13,1026.7370396,29,13,14,3779218469.04,3779218539.44,3772425008.06,44.63218,-124.30797,0.0,internal_timestamp,69.422996521,29,29,1563436208.06,33.8665008545,29,29,0,7.77960014343,29,29,3772425008.06
"('87',)",3.49872994423,29,13,1026.73740722,29,13,14,3779218469.04,3779218539.44,3772425008.12,44.63218,-124.30797,0.0,internal_timestamp,69.4250030518,29,29,1563436208.12,33.8669013977,29,29,0,7.77930021286,29,29,3772425008.12
"('88',)",3.49873995781,29,13,1026.73779106,29,13,14,3779218469.04,3779218539.44,3772425008.26,44.63218,-124.30797,0.0,internal_timestamp,69.4280014038,29,29,1563436208.26,33.8672981262,29,29,1,7.77890014648,29,29,3772425008.26
"('89',)",3.49872994423,29,13,1026.7381733,29,13,14,3779218469.04,3779218539.44,3772425008.27,44.63218,-124.30797,0.0,internal_timestamp,69.4300003052,29,29,1563436208.27,33.8676986694,29,29,0,7.77850008011,29,29,3772425008.27
"('90',)",3.49872994423,29,13,1026.73846301,29,13,14,3779218469.04,3779218539.44,3772425008.31,44.63218,-124.30797,0.0,internal_timestamp,69.4319992065,29,29,1563436208.31,33.8680000305,29,29,0,7.77820014954,29,29,3772425008.31
"('91',)",3.49872994423,29,13,1026.73866643,29,13,14,3779218469.04,3779218539.44,3772425008.37,44.63218,-124.30797,0.0,internal_timestamp,69.4359970093,29,29,1563436208.37,33.8681983948,29,29,0,7.77799987793,29,29,3772425008.37
"('92',)",3.49873995781,29,13,1026.73878027,29,13,14,3779218469.04,3779218539.44,3772425008.43,44.63218,-124.30797,0.0,internal_timestamp,69.4400024414,29,29,1563436208.43,33.8683013916,29,29,0,7.77790021896,29,29,3772425008.43
"('93',)",3.49875998497,29,13,1026.73904233,29,13,14,3779218469.04,3779218539.44,3772425008.56,44.63218,-124.30797,0.0,internal_timestamp,69.4430007935,29,29,1563436208.56,33.868598938,29,29,1,7.77780008316,29,29,3772425008.56
"('94',)",3.49876999855,29,13,1026.73922492,29,13,14,3779218469.04,3779218539.44,3772425008.57,44.63218,-124.30797,0.0,internal_timestamp,69.4449996948,29,29,1563436208.57,33.8688011169,29,29,0,7.77769994736,29,29,3772425008.57
"('95',)",3.49878001213,29,13,1026.73921944,29,13,14,3779218469.04,3779218539.44,3772425008.62,44.63218,-124.30797,0.0,internal_timestamp,69.4469985962,29,29,1563436208.62,33.8688011169,29,29,0,7.77780008316,29,29,3772425008.62
"('96',)",3.49879002571,29,13,1026.73911391,29,13,14,3779218469.04,3779218539.44,3772425008.68,44.63218,-124.30797,0.0,internal_timestamp,69.4479980469,29,29,1563436208.68,33.8686981201,29,29,0,7.77799987793,29,29,3772425008.68
"('97',)",3.49880003929,29,13,1026.73899213,29,13,14,3779218469.04,3779218539.44,3772425008.74,44.63218,-124.30797,0.0,internal_timestamp,69.4479980469,29,29,1563436208.74,33.868598938,29,29,0,7.7782998085,29,29,3772425008.74
"('98',)",3.49881005287,29,13,1026.73907919,29,13,14,3779218469.04,3779218539.44,3772425008.81,44.63218,-124.30797,0.0,internal_timestamp,69.4499969482,29,29,1563436208.81,33.8686981201,29,29,0,7.7782998085,29,29,3772425008.81
"('99',)",3.49883008003,29,13,1026.73972186,29,13,14,3779218469.04,3779218539.44,3772425008.87,44.63218,-124.30797,0.0,internal_timestamp,69.4540023804,29,29,1563436208.87,33.8694000244,29,29,0,7.77780008316,29,29,3772425008.87
"('100',)",3.49883008003,29,13,1026.7409427,29,13,14,3779218469.04,3779218539.44,3772425008.93,44.63218,-124.30797,0.0,internal_timestamp,69.4560012817,29,29,1563436208.93,33.8707008362,29,29,0,7.77650022507,29,29,3772425008.93
"('101',)",3.49883008003,29,13,1026.74254825,29,13,14,3779218469.04,3779218539.45,3772425009.0,44.63218,-124.30797,0.0,internal_timestamp,69.4580001831,29,29,1563436209.0,33.8723983765,29,29,0,7.77470016479,29,29,3772425009.0
"('102',)",3.49883008003,29,13,1026.74433725,29,13,14,3779218469.04,3779218539.45,3772425009.06,44.63218,-124.30797,0.0,internal_timestamp,69.4589996338,29,29,1563436209.06,33.8742980957,29,29,0,7.77269983292,29,29,3772425009.06
"('103',)",3.49883008003,29,13,1026.74584774,29,13,14,3779218469.04,3779218539.45,3772425009.12,44.63218,-124.30797,0.0,internal_timestamp,69.4629974365,29,29,1563436209.12,33.8759002686,29,29,0,7.77110004425,29,29,3772425009.12
